,url_length,mal,special_chars
0,16,1,3
1,35,0,5
2,31,0,5
3,88,1,18
4,235,1,14
5,118,0,24
6,45,0,10
7,46,0,6
8,44,1,7
9,45,0,7
10,62,0,8
11,64,1,10
12,30,0,4
13,61,1,10
14,51,1,9
15,48,1,6
16,44,0,7
17,52,0,7
18,46,0,8
19,34,1,8
20,48,0,6
21,42,1,6
22,35,0,6
23,83,0,13
24,33,0,4
25,33,0,5
26,30,0,4
27,85,0,15
28,71,1,8
29,34,0,5
30,81,0,14
31,53,0,7
32,38,0,5
33,33,0,3
34,64,0,10
35,102,1,17
36,48,0,9
37,29,0,4
38,67,1,13
39,44,1,9
40,87,1,9
41,34,0,4
42,36,0,4
43,99,0,14
44,15,0,2
45,27,0,2
46,82,1,12
47,29,0,5
48,31,0,4
49,129,0,19
50,100,1,21
51,49,1,8
52,31,0,3
53,46,0,8
54,7,0,2
55,91,0,12
56,43,0,7
57,18,0,2
58,121,0,16
59,47,0,6
60,32,1,8
61,172,1,38
62,24,0,4
63,29,0,3
64,19,0,2
65,44,1,8
66,39,1,8
67,50,0,8
68,55,1,12
69,29,0,5
70,32,0,4
71,30,0,3
72,20,1,1
73,33,0,5
74,38,0,5
75,40,0,7
76,67,0,8
77,120,0,14
78,112,0,15
79,50,0,7
80,66,1,11
81,65,0,7
82,31,0,4
83,21,0,3
84,104,0,23
85,58,0,10
86,60,1,9
87,153,1,17
88,36,0,5
89,22,0,3
90,65,1,12
91,229,0,77
92,69,0,11
93,54,0,8
94,19,1,2
95,98,0,15
96,73,1,13
97,33,0,5
98,107,0,16
99,80,1,15
100,22,0,3
101,50,1,9
102,112,0,19
103,41,0,7
104,79,1,13
105,27,1,2
106,113,1,16
107,23,0,2
108,14,0,2
109,38,0,5
110,150,0,25
111,89,1,16
112,13,0,2
113,41,0,5
114,119,0,17
115,81,1,27
116,84,0,14
117,50,1,10
118,76,0,12
119,25,0,2
120,80,0,9
121,52,0,7
122,23,0,3
123,47,0,8
124,92,1,17
125,52,0,6
126,22,1,2
127,85,0,19
128,58,0,9
129,290,0,82
130,136,0,20
131,87,0,14
132,53,1,10
133,46,0,7
134,31,0,3
135,41,0,6
136,44,0,6
137,81,1,16
138,77,0,8
139,63,1,10
140,108,0,16
141,49,0,5
142,63,0,6
143,52,0,7
144,41,0,6
145,53,0,8
146,86,1,15
147,83,1,17
148,42,0,5
149,27,0,4
150,72,0,11
151,98,0,17
152,79,0,7
153,21,0,2
154,33,0,5
155,20,0,3
156,63,1,21
157,25,0,3
158,15,1,1
159,73,0,12
160,88,0,17
161,72,0,14
162,230,1,33
163,58,1,8
164,31,0,7
165,20,0,2
166,106,1,22
167,30,1,1
168,124,1,22
169,49,1,8
170,58,0,10
171,53,0,6
172,96,0,14
173,66,0,10
174,41,0,5
175,14,0,2
176,79,0,12
177,34,0,5
178,75,0,14
179,28,0,3
180,114,0,20
181,62,0,9
182,85,0,13
183,35,0,6
184,36,0,5
185,26,0,2
186,12,0,2
187,69,1,9
188,51,0,8
189,79,1,14
190,52,0,10
191,77,0,11
192,22,0,4
193,77,1,15
194,45,0,6
195,43,0,6
196,47,0,6
197,54,0,7
198,26,1,2
199,30,1,6
200,47,0,8
201,26,0,3
202,35,0,5
203,67,0,12
204,31,0,4
205,33,0,5
206,48,0,7
207,91,0,18
208,36,0,4
209,69,0,9
210,64,0,11
211,33,0,4
212,99,1,33
213,96,1,19
214,56,0,6
215,53,1,8
216,26,0,2
217,50,0,9
218,81,0,12
219,9,0,2
220,71,0,7
221,113,0,21
222,43,0,6
223,58,0,9
224,97,0,14
225,99,0,15
226,73,0,12
227,35,0,3
228,36,0,4
229,142,0,29
230,57,0,8
231,41,0,6
232,28,1,3
233,25,0,5
234,13,1,1
235,35,0,6
236,83,0,13
237,93,0,19
238,73,1,9
239,20,0,3
240,81,1,23
241,35,0,5
242,28,0,4
243,81,1,27
244,65,0,12
245,105,0,16
246,27,1,3
247,92,0,12
248,60,0,9
249,17,0,2
250,99,0,11
251,59,1,13
252,30,0,4
253,112,1,22
254,50,0,6
255,109,1,22
256,118,1,15
257,131,0,20
258,63,0,9
259,32,0,4
260,102,1,17
261,163,0,30
262,68,0,12
263,58,1,12
264,47,0,6
265,38,0,8
266,61,0,9
267,37,0,3
