,url_length,special_chars
1147,103,19
805,76,12
1607,20,3
249,17,2
614,74,10
1644,21,1
1574,37,6
624,12,2
1171,32,2
769,41,6
83,21,3
412,33,4
286,67,12
1018,117,18
1199,28,4
1616,13,1
6,45,10
1245,63,8
27,85,15
894,15,2
631,27,4
89,22,3
166,106,22
201,26,3
1705,33,4
852,84,12
1540,33,3
356,44,5
160,88,17
1601,10,3
298,38,8
1016,79,9
1606,27,4
122,23,3
118,76,12
1660,41,4
170,58,10
685,23,3
71,30,3
1392,40,7
99,80,15
1291,88,15
1793,39,7
828,31,4
1252,27,2
1296,32,5
287,75,14
1757,56,9
1242,25,4
125,52,6
146,86,15
1450,113,21
1004,71,9
1035,63,9
1782,29,2
1600,64,8
839,101,15
850,39,5
143,52,7
925,66,10
662,101,27
428,40,4
353,85,17
215,53,8
458,41,5
934,95,18
1400,163,33
1155,84,16
285,61,11
525,33,5
388,78,16
1552,60,11
1478,45,7
1484,29,4
724,87,16
830,22,4
1409,51,7
1152,85,14
1279,26,4
622,39,7
632,63,11
17,52,7
290,64,7
1636,115,19
1391,48,7
1361,82,17
277,17,2
323,81,6
1372,30,3
895,57,8
1696,111,19
803,122,18
1364,95,18
1023,35,5
1576,73,10
1246,33,5
1329,85,11
268,64,9
544,106,22
762,139,25
1420,307,33
1752,14,1
169,49,8
1150,60,9
780,28,3
1294,133,43
1088,39,6
1702,41,5
294,40,7
529,150,18
1590,51,7
1211,87,15
1334,112,17
1792,59,9
589,91,15
1289,16,2
221,113,21
205,33,5
1338,42,5
831,32,5
797,107,25
827,102,17
1740,97,17
686,104,23
1572,18,1
1033,36,4
387,45,5
128,58,9
982,44,10
398,19,2
752,15,1
1720,55,10
470,31,4
880,27,5
394,69,12
1131,88,27
519,43,5
13,61,10
848,99,33
207,91,18
1715,46,6
420,16,4
1324,52,8
1347,31,5
1229,48,8
1554,31,3
912,36,5
1697,98,16
536,20,2
813,53,11
1653,24,2
588,46,6
446,22,3
1177,21,4
226,73,12
964,109,19
112,13,2
495,34,5
1181,27,5
913,27,4
899,18,2
900,61,7
1518,32,5
760,60,10
718,17,2
1047,31,6
1683,83,17
1053,83,12
367,39,7
494,34,5
795,27,5
260,102,17
503,132,19
1102,50,10
1353,33,4
264,47,6
58,121,16
1115,44,7
423,95,12
1112,86,12
1553,44,8
317,13,2
802,97,15
1001,44,6
1069,20,2
1376,66,10
1263,55,9
1074,54,10
1413,22,2
100,22,3
576,39,4
369,47,9
854,54,10
956,89,17
1116,49,7
1302,79,16
93,54,8
942,141,25
667,58,7
972,169,28
1120,20,2
980,29,4
1466,36,4
361,50,7
648,40,7
271,51,7
382,56,8
402,208,15
801,39,8
1054,30,3
1172,136,28
1378,101,17
1335,52,5
2,31,5
522,132,22
40,87,9
1790,27,3
225,99,15
650,13,2
1681,32,5
1797,42,5
