,Unnamed: 0,url_length,special_chars
1113,1113,68,15
1080,1080,28,3
108,108,14,2
1775,1775,35,5
1236,1236,105,16
1151,1151,31,4
767,767,37,6
1656,1656,51,2
312,312,41,4
47,47,29,5
1377,1377,34,3
1012,1012,22,2
985,985,123,23
1582,1582,32,3
301,301,65,10
636,636,67,11
241,241,35,5
338,338,49,7
1225,1225,111,16
1684,1684,19,1
1165,1165,99,20
431,431,35,6
891,891,120,14
566,566,24,4
1437,1437,92,17
184,184,36,5
907,907,96,19
216,216,26,2
489,489,39,6
1785,1785,44,5
1081,1081,152,26
1523,1523,16,1
87,87,153,17
1198,1198,80,5
397,397,41,7
1180,1180,25,3
1249,1249,35,4
858,858,170,31
123,123,47,8
1064,1064,31,4
1475,1475,124,22
927,927,32,6
1718,1718,19,1
14,14,51,9
350,350,54,11
190,190,52,10
1743,1743,50,8
537,537,45,6
637,637,81,15
456,456,54,9
405,405,36,5
366,366,18,2
1446,1446,20,2
1096,1096,38,5
324,324,121,23
77,77,120,14
1213,1213,48,9
782,782,104,23
808,808,54,8
961,961,104,17
78,78,112,15
710,710,64,11
570,570,67,11
1551,1551,33,3
1728,1728,52,5
616,616,67,7
709,709,38,6
1083,1083,67,8
1546,1546,34,4
385,385,14,3
1244,1244,18,2
1603,1603,37,7
483,483,118,17
1440,1440,84,17
1226,1226,56,10
697,697,47,6
265,265,38,8
1196,1196,30,3
789,789,108,16
915,915,72,11
1627,1627,158,30
386,386,164,11
668,668,116,20
28,28,71,8
1153,1153,67,7
1561,1561,50,7
884,884,18,2
1469,1469,66,8
344,344,17,2
1187,1187,116,18
373,373,29,5
602,602,57,8
299,299,92,16
541,541,44,5
466,466,18,2
1212,1212,117,14
1763,1763,77,12
90,90,65,12
1076,1076,106,18
235,235,35,6
948,948,70,11
524,524,26,4
746,746,24,2
811,811,22,4
504,504,17,3
781,781,134,19
1270,1270,67,8
1091,1091,85,13
1258,1258,139,16
1317,1317,31,4
1494,1494,92,21
1449,1449,35,5
1344,1344,61,8
696,696,71,11
375,375,39,2
1668,1668,51,6
1170,1170,33,7
1423,1423,200,24
1564,1564,20,2
513,513,57,6
1183,1183,13,2
1711,1711,83,11
276,276,35,7
159,159,73,12
1140,1140,65,10
463,463,69,7
651,651,58,12
1017,1017,22,1
422,422,33,9
758,758,34,5
1309,1309,15,2
1693,1693,72,24
140,140,108,16
188,188,51,8
703,703,58,9
154,154,33,5
222,222,43,6
218,218,81,12
411,411,130,21
454,454,71,10
237,237,93,19
409,409,25,5
1117,1117,119,21
920,920,53,9
355,355,39,8
1481,1481,50,6
623,623,49,8
173,173,66,10
515,515,43,7
62,62,24,4
220,220,71,7
501,501,71,13
967,967,16,2
1751,1751,102,19
1525,1525,71,13
1119,1119,153,28
488,488,23,2
34,34,64,10
1421,1421,88,16
85,85,58,10
1725,1725,96,16
156,156,63,21
351,351,88,19
672,672,42,6
896,896,93,16
1202,1202,10,2
444,444,73,11
139,139,63,10
1467,1467,61,12
1686,1686,21,2
441,441,146,20
772,772,15,2
1526,1526,32,4
243,243,81,27
955,955,40,7
1135,1135,38,5
669,669,48,9
255,255,109,22
1402,1402,39,3
1649,1649,24,3
1384,1384,240,39
406,406,82,16
1200,1200,43,5
1277,1277,12,2
181,181,62,9
838,838,51,7
1314,1314,62,9
770,770,30,3
110,110,150,25
962,962,40,8
1651,1651,83,14
643,643,36,5
1599,1599,15,1
124,124,92,17
1256,1256,87,16
1749,1749,202,20
593,593,21,3
793,793,44,7
1359,1359,52,7
1447,1447,56,8
1438,1438,19,3
577,577,70,10
20,20,48,6
914,914,52,5
313,313,35,4
973,973,104,15
1619,1619,50,8
113,113,41,5
1243,1243,81,12
860,860,59,8
474,474,48,9
331,331,103,15
1736,1736,108,36
42,42,36,4
1511,1511,31,3
1325,1325,54,10
1604,1604,31,4
1106,1106,15,2
714,714,16,1
790,790,65,6
596,596,126,21
1573,1573,73,9
1663,1663,46,6
1418,1418,185,17
234,234,13,1
1631,1631,40,5
796,796,37,7
1464,1464,20,2
202,202,35,5
990,990,33,4
1385,1385,66,10
832,832,14,2
486,486,23,3
1777,1777,65,7
208,208,36,4
646,646,19,2
1672,1672,50,8
142,142,63,6
731,731,52,9
1614,1614,54,11
778,778,56,6
1231,1231,46,6
1240,1240,43,5
76,76,67,8
1480,1480,27,3
141,141,49,5
618,618,46,10
548,548,36,2
57,57,18,2
535,535,36,7
976,976,25,3
1003,1003,24,4
680,680,73,11
1268,1268,60,10
329,329,98,19
658,658,31,4
821,821,22,2
836,836,139,19
954,954,103,17
175,175,14,2
1538,1538,28,5
1761,1761,80,10
875,875,83,10
364,364,112,23
684,684,24,4
315,315,121,11
1403,1403,28,6
545,545,79,15
263,263,58,12
1128,1128,47,5
871,871,31,4
951,951,44,7
1509,1509,45,9
1149,1149,43,3
1760,1760,57,9
132,132,53,10
1370,1370,38,7
1796,1796,44,4
1588,1588,52,6
162,162,230,33
1465,1465,24,3
1146,1146,21,4
728,728,23,2
885,885,39,6
971,971,93,12
716,716,12,2
879,879,224,17
1121,1121,11,1
1365,1365,48,10
981,981,109,23
1057,1057,18,2
903,903,84,19
892,892,13,2
415,415,52,7
1322,1322,77,15
281,281,74,12
1507,1507,42,5
1556,1556,83,10
1741,1741,32,4
1417,1417,18,1
1476,1476,100,19
358,358,54,6
1495,1495,77,15
1315,1315,18,2
929,929,30,4
520,520,83,14
1010,1010,44,11
661,661,60,10
1708,1708,55,7
148,148,42,5
586,586,93,17
500,500,13,2
1190,1190,51,7
953,953,68,10
1701,1701,71,16
492,492,74,14
1578,1578,22,4
1443,1443,46,10
35,35,102,17
739,739,53,6
352,352,85,27
1422,1422,77,14
1313,1313,56,8
395,395,32,6
362,362,16,2
92,92,69,11
95,95,98,15
192,192,22,4
1218,1218,49,6
254,254,50,6
552,552,31,4
1659,1659,24,5
1104,1104,122,16
1508,1508,52,7
1039,1039,15,2
370,370,38,6
978,978,25,3
1176,1176,69,8
1593,1593,51,8
1623,1623,28,4
1301,1301,92,11
823,823,49,6
438,438,44,6
644,644,42,4
950,950,51,7
117,117,50,10
22,22,35,6
1357,1357,58,6
319,319,45,5
579,579,36,5
1492,1492,125,21
1346,1346,32,5
1767,1767,106,17
851,851,17,2
1545,1545,37,5
1501,1501,76,8
389,389,37,4
853,853,198,19
1304,1304,64,8
1566,1566,64,11
634,634,165,26
347,347,34,5
66,66,39,8
1499,1499,42,4
1303,1303,32,5
1237,1237,54,10
881,881,26,2
130,130,136,20
414,414,31,3
704,704,19,2
916,916,77,9
