,url_length,content_length,mal,charsets,server,special_chars
0,16,-1,1,-1,-1,3
1,35,-1,0,-1,-1,5
2,31,-1,0,-1,-1,5
3,88,-1,1,-1,-1,18
4,235,-1,1,-1,-1,14
5,118,-1,0,-1,-1,24
6,45,-1,0,-1,-1,10
7,46,-1,0,-1,-1,6
8,44,-1,1,-1,-1,7
9,45,-1,0,-1,-1,7
10,62,-1,0,-1,-1,8
11,64,-1,1,-1,-1,10
12,30,-1,0,-1,-1,4
13,61,-1,1,-1,-1,10
14,51,-1,1,-1,-1,9
15,48,-1,1,-1,-1,6
16,44,-1,0,-1,-1,7
17,52,-1,0,-1,-1,7
18,46,-1,0,-1,-1,8
19,34,41817,1,['utf-8'],Microsoft-IIS/8.5,8
20,48,-1,0,-1,-1,6
21,42,-1,1,-1,-1,6
22,35,-1,0,-1,-1,6
23,83,-1,0,-1,-1,13
24,33,-1,0,-1,-1,4
25,33,-1,0,-1,-1,5
26,30,-1,0,-1,-1,4
27,85,-1,0,-1,-1,15
28,71,-1,1,-1,-1,8
29,34,-1,0,-1,-1,5
30,81,-1,0,-1,-1,14
31,53,-1,0,-1,-1,7
32,38,-1,0,-1,-1,5
33,33,-1,0,-1,-1,3
34,64,-1,0,-1,-1,10
35,102,-1,1,-1,-1,17
36,48,-1,0,-1,-1,9
37,29,-1,0,-1,-1,4
38,67,428,1,['utf-8'],,13
39,44,-1,1,-1,-1,9
40,87,,1,['utf-8'],GSE,9
41,34,-1,0,-1,-1,4
42,36,-1,0,-1,-1,4
43,99,-1,0,-1,-1,14
44,15,-1,0,-1,-1,2
45,27,-1,0,-1,-1,2
46,82,-1,1,-1,-1,12
47,29,-1,0,-1,-1,5
48,31,-1,0,-1,-1,4
49,129,,0,['ms949'],,19
50,100,-1,1,-1,-1,21
51,49,196523,1,[None],Apache,8
52,31,-1,0,-1,-1,3
53,46,-1,0,-1,-1,8
54,7,-1,0,-1,-1,2
55,91,-1,0,-1,-1,12
56,43,-1,0,-1,-1,7
57,18,-1,0,-1,-1,2
58,121,-1,0,-1,-1,16
59,47,-1,0,-1,-1,6
60,32,-1,1,-1,-1,8
61,172,-1,1,-1,-1,38
62,24,-1,0,-1,-1,4
63,29,-1,0,-1,-1,3
64,19,-1,0,-1,-1,2
65,44,-1,1,-1,-1,8
66,39,-1,1,-1,-1,8
67,50,-1,0,-1,-1,8
68,55,-1,1,-1,-1,12
69,29,-1,0,-1,-1,5
70,32,-1,0,-1,-1,4
71,30,-1,0,-1,-1,3
72,20,-1,1,-1,-1,1
73,33,-1,0,-1,-1,5
74,38,-1,0,-1,-1,5
75,40,-1,0,-1,-1,7
76,67,-1,0,-1,-1,8
77,120,-1,0,-1,-1,14
78,112,-1,0,-1,-1,15
79,50,-1,0,-1,-1,7
80,66,-1,1,-1,-1,11
81,65,-1,0,-1,-1,7
82,31,-1,0,-1,-1,4
83,21,-1,0,-1,-1,3
84,104,-1,0,-1,-1,23
85,58,-1,0,-1,-1,10
86,60,-1,1,-1,-1,9
87,153,-1,1,-1,-1,17
88,36,-1,0,-1,-1,5
89,22,-1,0,-1,-1,3
90,65,,1,['utf-8'],nginx,12
91,229,-1,0,-1,-1,77
92,69,-1,0,-1,-1,11
93,54,-1,0,-1,-1,8
94,19,-1,1,-1,-1,2
