url_length,content_length,mal,special_chars,charsets,server,IP,type
235,-1,1,14,-1,-1,-1,defacment
44,-1,1,7,-1,-1,-1,defacment
64,-1,1,10,-1,-1,-1,defacment
61,-1,1,10,-1,-1,-1,defacment
51,-1,1,9,-1,-1,-1,defacment
48,-1,1,6,-1,-1,-1,defacment
34,41817,1,8,-1,Microsoft-IIS/8.5,-1,defacment
102,-1,1,17,-1,-1,-1,defacment
44,-1,1,9,-1,-1,-1,defacment
82,-1,1,12,-1,-1,-1,defacment
100,-1,1,21,-1,-1,-1,defacment
49,196523,1,8,-1,Apache,-1,defacment
32,-1,1,8,-1,-1,-1,defacment
172,-1,1,38,-1,-1,-1,defacment
44,-1,1,8,-1,-1,-1,defacment
39,-1,1,8,-1,-1,-1,defacment
55,-1,1,12,-1,-1,-1,defacment
66,-1,1,11,-1,-1,-1,defacment
60,-1,1,9,-1,-1,-1,defacment
65,,1,12,-1,nginx,-1,defacment
73,-1,1,13,-1,-1,-1,defacment
80,233136,1,15,-1,Apache,-1,defacment
50,-1,1,9,-1,-1,-1,defacment
79,-1,1,13,-1,-1,-1,defacment
89,-1,1,16,-1,-1,-1,defacment
50,-1,1,10,-1,-1,-1,defacment
92,,1,17,-1,gogogadgeto-server,-1,defacment
53,-1,1,10,-1,-1,-1,defacment
81,-1,1,16,-1,-1,-1,defacment
86,-1,1,15,-1,-1,-1,defacment
83,,1,17,-1,nginx/1.18.0,-1,defacment
230,,1,33,-1,Apache,-1,defacment
58,-1,1,8,-1,-1,-1,defacment
106,,1,22,-1,LiteSpeed,-1,defacment
124,-1,1,22,-1,-1,-1,defacment
49,-1,1,8,-1,-1,-1,defacment
79,-1,1,14,-1,-1,-1,defacment
77,-1,1,15,-1,-1,-1,defacment
30,-1,1,6,-1,-1,-1,defacment
96,-1,1,19,-1,-1,-1,defacment
53,,1,8,-1,nginx,-1,defacment
73,-1,1,9,-1,-1,-1,defacment
112,,1,22,-1,nginx,-1,defacment
109,-1,1,22,-1,-1,-1,defacment
118,-1,1,15,-1,-1,-1,defacment
102,-1,1,17,-1,-1,-1,defacment
58,-1,1,12,-1,-1,-1,defacment
63,-1,1,12,-1,-1,-1,defacment
103,,1,17,-1,,-1,defacment
72,-1,1,10,-1,-1,-1,defacment
80,-1,1,19,-1,-1,-1,defacment
61,-1,1,11,-1,-1,-1,defacment
67,18426,1,12,-1,Apache,-1,defacment
75,-1,1,14,-1,-1,-1,defacment
65,,1,13,-1,Apache,-1,defacment
94,-1,1,19,-1,-1,-1,defacment
38,-1,1,8,-1,-1,-1,defacment
65,-1,1,10,-1,-1,-1,defacment
34,-1,1,7,-1,-1,-1,defacment
71,-1,1,14,-1,-1,-1,defacment
98,-1,1,19,-1,-1,-1,defacment
103,-1,1,15,-1,-1,-1,defacment
83,-1,1,17,-1,-1,-1,defacment
98,,1,20,-1,Apache/2,-1,defacment
85,-1,1,17,-1,-1,-1,defacment
50,8,1,10,-1,gunicorn/0.17.2,-1,defacment
39,-1,1,8,-1,-1,-1,defacment
60,-1,1,11,-1,-1,-1,defacment
68,-1,1,14,-1,-1,-1,defacment
47,-1,1,9,-1,-1,-1,defacment
175,-1,1,30,-1,-1,-1,defacment
45,,1,9,-1,Apache/2,-1,defacment
164,-1,1,11,-1,-1,-1,defacment
78,-1,1,16,-1,-1,-1,defacment
53,-1,1,9,-1,-1,-1,defacment
